ji,siann,un,tiau,pheng
"𪑖","邊","君","上平","pun1"
"𪒰","邊","君","上平","pun1"
"君","求","君","上平","kun1"
"褌","求","君","上平","kun1"
"裩","求","君","上平","kun1"
"軍","求","君","上平","kun1"
"坤","氣","君","上平","khun1"
"昆","氣","君","上平","khun1"
"崑","氣","君","上平","khun1"
"蜫","氣","君","上平","khun1"
"鯤","氣","君","上平","khun1"
"髡","氣","君","上平","khun1"
"鵾","氣","君","上平","khun1"
"囷","氣","君","上平","khun1"
"菌","氣","君","上平","khun1"
"麕","氣","君","上平","khun1"
"峮","氣","君","上平","khun1"
"琨","氣","君","上平","khun1"
"焜","氣","君","上平","khun1"
"敦","地","君","上平","tun1"
"墩","地","君","上平","tun1"
"憞","地","君","上平","tun1"
"𡼖","地","君","上平","tun1"
"迍","地","君","上平","tun1"
"芚","地","君","上平","tun1"
"諄","地","君","上平","tun1"
"燉","地","君","上平","tun1"
"噋","地","君","上平","tun1"
"窀","地","君","上平","tun1"
"鈍","地","君","上平","tun1"
"奔","頗","君","上平","phun1"
"犇","頗","君","上平","phun1"
"賁","頗","君","上平","phun1"
"噴","頗","君","上平","phun1"
"歕","頗","君","上平","phun1"
"𧾜","頗","君","上平","phun1"
"䊩","頗","君","上平","phun1"
"吞","他","君","上平","thun1"
"焞","他","君","上平","thun1"
"椿","他","君","上平","thun1"
"暾","他","君","上平","thun1"
"涒","他","君","上平","thun1"
"䡅","他","君","上平","thun1"
"𪎶","他","君","上平","thun1"
"僎","曾","君","上平","tsun1"
"𠊨","曾","君","上平","tsun1"
"尊","曾","君","上平","tsun1"
"樽","曾","君","上平","tsun1"
"罇","曾","君","上平","tsun1"
"遵","曾","君","上平","tsun1"
"嶟","曾","君","上平","tsun1"
"蹲","曾","君","上平","tsun1"
"惇","曾","君","上平","tsun1"
"屯","曾","君","上平","tsun1"
"肫","曾","君","上平","tsun1"
"窀","曾","君","上平","tsun1"
"諄","曾","君","上平","tsun1"
"啍","曾","君","上平","tsun1"
"噂","曾","君","上平","tsun1"
"鱒","曾","君","上平","tsun1"
"𤁩","曾","君","上平","tsun1"
"孫","時","君","上平","sun1"
"蓀","時","君","上平","sun1"
"猻","時","君","上平","sun1"
"飧","時","君","上平","sun1"
"飱","時","君","上平","sun1"
"槂","時","君","上平","sun1"
"温","英","君","上平","un1"
"溫","英","君","上平","un1"
"氳","英","君","上平","un1"
"熅","英","君","上平","un1"
"瘟","英","君","上平","un1"
"薀","英","君","上平","un1"
"馧","英","君","上平","un1"
"豱","英","君","上平","un1"
"鰮","英","君","上平","un1"
"蒕","英","君","上平","un1"
"㬈","英","君","上平","un1"
"春","出","君","上平","tshun1"
"村","出","君","上平","tshun1"
"邨","出","君","上平","tshun1"
"萅","出","君","上平","tshun1"
"𣈤","出","君","上平","tshun1"
